id,contract_id,extension_number,extension_term_text,extension_term_days,extension_date,new_end_date
77366a59-c389-4dd3-b812-dadb3586e58f,14c7e6ca-7804-47ed-beb7-be3a35979ff2,2,CUATRO (4) MESES,,,
965a6a4d-ed65-4392-b6a2-334f21784517,14c7e6ca-7804-47ed-beb7-be3a35979ff2,3,DOS (2) MESES,,,
0f85970e-c8cf-4397-8332-90aaa8b1fbda,14c7e6ca-7804-47ed-beb7-be3a35979ff2,4,TRES (3) MESES,,,
30ad226d-c46d-45da-a08b-f8e8cdd0abb8,14c7e6ca-7804-47ed-beb7-be3a35979ff2,5,DOS (2) MESES,,,
2a01d571-6551-4283-bcba-f0d444840825,14c7e6ca-7804-47ed-beb7-be3a35979ff2,6,DOS (2) MESES Y CUATRO (4) DIAS,,,
f22f71d9-0a9e-4199-a3be-dadbfd6cdc78,14c7e6ca-7804-47ed-beb7-be3a35979ff2,7,DIEZ (10) DÍAS,,,
6a819676-d0c7-4fe1-b8d5-cdf8424e86bd,14c7e6ca-7804-47ed-beb7-be3a35979ff2,8,UN (1) MES,,,
16796bad-2d0a-467f-b616-1e0cdb707be1,14c7e6ca-7804-47ed-beb7-be3a35979ff2,9,TRES (3) MESES,,,
286bf7e0-310a-42e9-acc8-2b3486787c2d,33632ef3-51fd-4f9e-b43c-26a461b166f2,1,UN (1) MES Y VEINTIUN (21) DÍA,,,
4bacfefc-6195-43e5-915b-2613cc38900e,33632ef3-51fd-4f9e-b43c-26a461b166f2,2,CUATRO (4) MESES,,,
1abd5cba-c71a-4651-9664-b1e8a4d29668,33632ef3-51fd-4f9e-b43c-26a461b166f2,3,DOS (2) MESES,,,
0c36726d-1fb5-4172-999c-f902cbcea518,33632ef3-51fd-4f9e-b43c-26a461b166f2,4,TRES (3) MESES,,,
47407726-d910-4ba4-856a-b824b140cb49,33632ef3-51fd-4f9e-b43c-26a461b166f2,5,DOS (2) MESES,,,
f1aaaddc-5806-4738-accb-87e9e530604c,33632ef3-51fd-4f9e-b43c-26a461b166f2,6,DOS (2) MESES Y CUATRO (4) DIAS,,,
2a10f1be-2aea-4199-a0ad-0837dfb92c9e,33632ef3-51fd-4f9e-b43c-26a461b166f2,7,DIEZ (10) DÍAS,,,
d093341c-bb21-479b-a8c8-d7d5c4f0ee97,33632ef3-51fd-4f9e-b43c-26a461b166f2,8,UN (1) MES,,,
0dd7096e-e08b-4cdd-bdb8-0f213ddf044a,33632ef3-51fd-4f9e-b43c-26a461b166f2,9,TRES (3) MESES,,,
f9c090d6-3ab2-4e2f-9766-543446effadd,dbe8eb05-542a-4b9b-8084-3e2f85928df4,1,21 DÍAS,21.0,,
f130759a-43dc-4d98-9244-e501282d5cc6,7011eac3-9233-4863-b850-abd18d7639c5,1,21 DÍAS,21.0,,
edb162c1-461d-461c-a741-57f0c09ce633,0815f2a9-aa09-45e7-96a3-9ddf9c88067b,1,12 DÍAS,12.0,,
b92337e7-5f26-4cba-8b7d-d08aa0b54c68,dfb455fc-4640-4043-85c5-37db95a7ecdb,1,SEIS (6) MESES,,,
3dabc604-6c46-4cb8-902b-79a0ec94a803,f39071cb-ba77-40ff-ad23-ab71dfc64d0c,1,15 DÍAS,15.0,,
163bae34-3696-442e-b292-4576972d1196,aa29c2a1-1ae8-4750-9c7f-00ce8815da91,1,DOS (2) MESES,,,
24d750cd-a936-4d00-8758-b0c237d2b1bc,aa29c2a1-1ae8-4750-9c7f-00ce8815da91,2,UN (1) MES,,,
785e9b65-9798-4916-9016-be3451b4f2c9,e11db872-f008-49e2-808b-7b3671f1cb9d,1,1 MES,30.0,,
6953f047-4ab6-49bb-a6fd-b1f3e886f5b3,e11db872-f008-49e2-808b-7b3671f1cb9d,2,1 MES,30.0,,
59d017a9-588c-4a3c-9d0f-f9a66759a91f,86885dd6-f42b-42f5-becf-ed81d95f964d,1,1 MES,30.0,,
6b709d6e-ce06-4f7f-bba1-a3d4e4548988,86885dd6-f42b-42f5-becf-ed81d95f964d,2,10 DÍAS,10.0,,
d94cdbf8-9186-40ee-badf-f38bf9fed210,86885dd6-f42b-42f5-becf-ed81d95f964d,3,1 MES,30.0,,
8e95456d-0280-4389-bbb7-cc7c84c1a5b1,9f861d6e-619f-4e16-a2dd-70ae4e65e10d,1,1 MES,30.0,,
e4c4fdf4-1ea7-4186-b020-d129949d4ebb,9f861d6e-619f-4e16-a2dd-70ae4e65e10d,2,1 MES,30.0,,
a9a6c103-2125-4f24-802c-963aa29a674a,e56e82f1-edfe-4bef-b743-58f58cebac91,1,1 MES,30.0,,
